Movie Number,Movie Title,Release Year,Rating,Votes,Runtime,Genre,Description,Director,Stars,Gross
1.,Reservoir Dogs,1992,8.3,"1,087,360",99 min,"Crime, Thriller            ","When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",Quentin Tarantino,"['Harvey Keitel', 'Tim Roth', 'Michael Madsen', 'Chris Penn']",$2.83M
2.,El silencio de los corderos,1991,8.6,"1,546,880",118 min,"Crime, Drama, Thriller            ","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Jonathan Demme,"['Jodie Foster', 'Anthony Hopkins', 'Scott Glenn', 'Ted Levine']",$130.74M
3.,Terminator 2: El juicio final,1991,8.6,"1,173,009",137 min,"Action, Adventure, Sci-Fi            ","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",James Cameron,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong', 'Robert Patrick']",$204.84M
4.,Uno de los nuestros,1990,8.7,"1,256,065",145 min,"Biography, Crime, Drama            ","The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",Martin Scorsese,"['Robert De Niro', 'Ray Liotta', 'Joe Pesci', 'Lorraine Bracco']",$46.84M
5.,El padrino parte III,1990,7.6,"423,749",162 min,"Crime, Drama            ","Follows Michael Corleone, now in his 60s, as he seeks to free his family from crime and find a suitable successor to his empire.",Francis Ford Coppola,"['Al Pacino', 'Diane Keaton', 'Andy Garcia', 'Talia Shire']",$66.67M
6.,Algunos hombres buenos,1992,7.7,"287,077",138 min,"Drama, Thriller            ",Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.,Rob Reiner,"['Tom Cruise', 'Jack Nicholson', 'Demi Moore', 'Kevin Bacon']",$141.34M
7.,JFK: Caso abierto,1991,8,"169,818",189 min,"Drama, History, Thriller            ",New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,Oliver Stone,"['Kevin Costner', 'Gary Oldman', 'Jack Lemmon', 'Walter Matthau']",$70.41M
8.,Los chicos del barrio,1991,7.8,"154,461",112 min,"Crime, Drama            ","Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects.",John Singleton,"['Cuba Gooding Jr.', 'Laurence Fishburne', 'Hudhail Al-Amir', 'Lloyd Avery II']",$57.50M
9.,Sin perdón,1992,8.2,"435,846",130 min,"Drama, Western            ","Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",Clint Eastwood,"['Clint Eastwood', 'Gene Hackman', 'Morgan Freeman', 'Richard Harris']",$101.16M
10.,Desafío total,1990,7.5,"354,195",113 min,"Action, Adventure, Sci-Fi            ","When a man goes in to have virtual vacation memories of the planet Mars implanted in his mind, an unexpected and harrowing series of events forces him to go to the planet for real - or is he?",Paul Verhoeven,"['Arnold Schwarzenegger', 'Sharon Stone', 'Michael Ironside', 'Rachel Ticotin']",$119.39M
11.,Malcolm X,1992,7.7,"101,971",202 min,"Biography, Drama, History            ","Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam and his eventual assassination.",Spike Lee,"['Denzel Washington', 'Angela Bassett', 'Delroy Lindo', 'Spike Lee']",$48.17M
12.,Barton Fink,1991,7.6,"128,881",116 min,"Comedy, Drama, Thriller            ",A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.,Joel Coen,"['Ethan Coen', 'John Turturro', 'John Goodman', 'Judy Davis', 'Michael Lerner']",$6.15M
13.,Braindead: tu madre se ha comido a mi perro,1992,7.5,"103,234",104 min,"Comedy, Fantasy, Horror            ","A young man's mother is bitten by a Sumatran rat-monkey. She gets sick and dies, at which time she comes back to life, killing and eating dogs, nurses, friends, and neighbors.",Peter Jackson,"['Timothy Balme', 'Diana Peñalver', 'Elizabeth Moody', 'Ian Watkin']",$0.24M
14.,Mi primo Vinny,1992,7.6,"140,410",120 min,"Comedy, Crime            ","Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience.",Jonathan Lynn,"['Joe Pesci', 'Marisa Tomei', 'Ralph Macchio', 'Mitchell Whitfield']",$52.93M
15.,El último mohicano,1992,7.7,"187,478",112 min,"Action, Adventure, Drama            ",Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.,Michael Mann,"['Daniel Day-Lewis', 'Madeleine Stowe', 'Russell Means', 'Eric Schweig']",$75.51M
16.,Misery,1990,7.8,"235,308",107 min,"Drama, Thriller            ","After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse.",Rob Reiner,"['James Caan', 'Kathy Bates', 'Richard Farnsworth', 'Frances Sternhagen']",$61.28M
17.,Esencia de mujer,1992,8,"328,402",156 min,Drama            ,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",Martin Brest,"['Al Pacino', ""Chris O'Donnell"", 'James Rebhorn', 'Gabrielle Anwar']",$63.90M
18.,Tomates verdes fritos,1991,7.7,"83,444",130 min,Drama            ,"Evelyn, an ordinary housewife, visits a nursing home and befriends the old lady Ninny. Together, they bond over stories from the past about two intrepid women of Whistle Stop Cafe.",Jon Avnet,"['Kathy Bates', 'Jessica Tandy', 'Mary Stuart Masterson', 'Mary-Louise Parker']",$82.42M
